index,upstream_sha,subject,planned_areas,planned_treatment,path_count,upstream_paths,status,review_note,crew_evidence,validation
1,1e6f1a2584d1620fcc16baf8df962bda8d7c7ae9,chore(release): release Buzz Desktop version 0.5.18 (#6489),01-toolchain-ci-docs;04-desktop,release bookkeeping; pin only after coverage gate,6,.release/desktop-candidate.json;CHANGELOG.md;desktop/package.json;desktop/src-tauri/Cargo.lock;desktop/src-tauri/Cargo.toml;desktop/src-tauri/tauri.conf.json,adapted,"Intermediate release bookkeeping is superseded by final 0.5.22 metadata; preserve Crew package/product identifiers and manual release attribution. The pin is a working-branch target, not acceptance evidence.",.release/desktop-candidate.json;CHANGELOG.md;desktop/package.json;desktop/src-tauri/Cargo.lock;desktop/src-tauri/Cargo.toml;desktop/src-tauri/tauri.conf.json;plans/reports/implementer-260905-native-release-integration.md;plans/reports/reviewer-260905-coverage-audit.md;plans/reports/reviewer-20260905-final-desktop-reconciliation.md,"Final-source audit: 1 target-exact, 4 adapted, 1 intentional Crew/mapped paths. Native tests 3431 passed, 19 ignored; clippy passed. Source coverage and local just ci/dependency-policy gates passed; 10k browser smoke passed; PR #342 Gate/manual passed on 0ef5491f; whole CI cancelled after smoke 3/4 timeouts with failures. Later repairs have local validation; PR342 checks are canonical remote evidence and full NuncioCrew CI including all desktop smoke shards and manual upstream compatibility must pass on the exact head at merge."
2,6039fed565fd73a07cdddc3143c86733cad91709,fix(desktop): restore human barge-in over agent TTS in huddles (#6431),04-desktop,integrate final released behavior,18,desktop/src-tauri/src/huddle/audio_output.rs;desktop/src-tauri/src/huddle/human_floor.rs;desktop/src-tauri/src/huddle/latency_bench.rs;desktop/src-tauri/src/huddle/local_barge_in.rs;desktop/src-tauri/src/huddle/mod.rs;desktop/src-tauri/src/huddle/pipeline.rs;desktop/src-tauri/src/huddle/playout.rs;desktop/src-tauri/src/huddle/relay_api.rs;desktop/src-tauri/src/huddle/state.rs;desktop/src-tauri/src/huddle/stt.rs;desktop/src-tauri/src/huddle/stt_tests.rs;desktop/src-tauri/src/huddle/tts.rs;desktop/src-tauri/src/huddle/tts_pipeline_controls.rs;desktop/src-tauri/src/huddle/tts_playback.rs;desktop/src-tauri/src/huddle/tts_settings.rs;desktop/src-tauri/src/huddle/tts_tests.rs;desktop/src-tauri/src/huddle/tts_voice_selection_tests.rs;desktop/src-tauri/src/huddle/tts_voice_transition.rs,ported,Final 0.5.22 source for fix(desktop): restore human barge-in over agent TTS in huddles is accounted for at the current paths below. Every listed path matches the final target bytes (including final target deletions).,desktop/src-tauri/src/huddle/audio_output.rs;desktop/src-tauri/src/huddle/human_floor.rs;desktop/src-tauri/src/huddle/latency_bench.rs;desktop/src-tauri/src/huddle/local_barge_in.rs;desktop/src-tauri/src/huddle/mod.rs;desktop/src-tauri/src/huddle/pipeline.rs;desktop/src-tauri/src/huddle/playout.rs;desktop/src-tauri/src/huddle/relay_api.rs;desktop/src-tauri/src/huddle/state.rs;desktop/src-tauri/src/huddle/stt.rs;desktop/src-tauri/src/huddle/stt_tests.rs;desktop/src-tauri/src/huddle/tts.rs;desktop/src-tauri/src/huddle/tts_pipeline_controls.rs;desktop/src-tauri/src/huddle/tts_playback.rs;desktop/src-tauri/src/huddle/tts_settings.rs;desktop/src-tauri/src/huddle/tts_tests.rs;desktop/src-tauri/src/huddle/tts_voice_selection_tests.rs;desktop/src-tauri/src/huddle/tts_voice_transition.rs;plans/reports/implementer-260905-native-release-integration.md;plans/reports/reviewer-260905-coverage-audit.md;plans/reports/reviewer-20260905-final-desktop-reconciliation.md,"Final-source audit: 18 target-exact, 0 adapted, 0 intentional Crew/mapped paths. Native tests 3431 passed, 19 ignored; clippy passed. Source coverage and local just ci/dependency-policy gates passed; 10k browser smoke passed; PR #342 Gate/manual passed on 0ef5491f; whole CI cancelled after smoke 3/4 timeouts with failures. Later repairs have local validation; PR342 checks are canonical remote evidence and full NuncioCrew CI including all desktop smoke shards and manual upstream compatibility must pass on the exact head at merge."
3,fc2ce6728b3b4805040c0a2f2cc5c15f1c1806ce,feat(archive): add observer-frame retention schema and gated DB adapter (#5719),04-desktop,integrate final released behavior,10,desktop/src-tauri/src/app_state.rs;desktop/src-tauri/src/archive/archive_db.rs;desktop/src-tauri/src/archive/archive_db_tests.rs;desktop/src-tauri/src/archive/mod.rs;desktop/src-tauri/src/archive/retention.rs;desktop/src-tauri/src/archive/retention_tests.rs;desktop/src-tauri/src/archive/store_migrations.rs;desktop/src-tauri/src/archive/store_tests.rs;desktop/src-tauri/src/archive/sync.rs;desktop/src-tauri/src/lib.rs,adapted,Final 0.5.22 source for feat(archive): add observer-frame retention schema and gated DB adapter is accounted for at the current paths below. Shared files retain Crew extensions or use existing Crew integration seams; supporting review evidence is attached.,desktop/src-tauri/src/app_state.rs;desktop/src-tauri/src/archive/archive_db.rs;desktop/src-tauri/src/archive/archive_db_tests.rs;desktop/src-tauri/src/archive/mod.rs;desktop/src-tauri/src/archive/retention.rs;desktop/src-tauri/src/archive/retention_tests.rs;desktop/src-tauri/src/archive/store_migrations.rs;desktop/src-tauri/src/archive/store_tests.rs;desktop/src-tauri/src/archive/sync.rs;desktop/src-tauri/src/lib.rs;plans/reports/implementer-260905-native-release-integration.md;plans/reports/reviewer-260905-coverage-audit.md;plans/reports/reviewer-20260905-final-desktop-reconciliation.md,"Final-source audit: 8 target-exact, 2 adapted, 0 intentional Crew/mapped paths. Native tests 3431 passed, 19 ignored; clippy passed. Source coverage and local just ci/dependency-policy gates passed; 10k browser smoke passed; PR #342 Gate/manual passed on 0ef5491f; whole CI cancelled after smoke 3/4 timeouts with failures. Later repairs have local validation; PR342 checks are canonical remote evidence and full NuncioCrew CI including all desktop smoke shards and manual upstream compatibility must pass on the exact head at merge."
4,7da8f9abf3245d7ab31ba6e4ad72598b03471f2b,Clarify huddle message destination (#6496),04-desktop,integrate final released behavior,1,desktop/src-tauri/src/huddle/agents.rs,ported,Final 0.5.22 source for Clarify huddle message destination is accounted for at the current paths below. Every listed path matches the final target bytes (including final target deletions).,desktop/src-tauri/src/huddle/agents.rs;plans/reports/implementer-260905-native-release-integration.md;plans/reports/reviewer-260905-coverage-audit.md;plans/reports/reviewer-20260905-final-desktop-reconciliation.md,"Final-source audit: 1 target-exact, 0 adapted, 0 intentional Crew/mapped paths. Native tests 3431 passed, 19 ignored; clippy passed. Source coverage and local just ci/dependency-policy gates passed; 10k browser smoke passed; PR #342 Gate/manual passed on 0ef5491f; whole CI cancelled after smoke 3/4 timeouts with failures. Later repairs have local validation; PR342 checks are canonical remote evidence and full NuncioCrew CI including all desktop smoke shards and manual upstream compatibility must pass on the exact head at merge."
5,aeb741fd31044ec560d953b0986dec2e7e93e2c6,Polish mobile channel navigation and message sends (#6488),04-mobile,integrate final released behavior,24,mobile/lib/features/channels/channel_actions_sheet.dart;mobile/lib/features/channels/channel_detail_page.dart;mobile/lib/features/channels/channel_detail_page/message_list.dart;mobile/lib/features/channels/channel_details_page.dart;mobile/lib/features/channels/channel_mutes/channel_mutes_manager.dart;mobile/lib/features/channels/channel_stars/channel_stars_manager.dart;mobile/lib/features/channels/compose_bar/compose_bar_widget.dart;mobile/lib/features/channels/compose_bar/draft_lifecycle.dart;mobile/lib/features/channels/local_message_send_animation_provider.dart;mobile/lib/features/channels/local_message_send_transition.dart;mobile/lib/features/channels/send_message_provider.dart;mobile/lib/features/channels/thread_detail_page.dart;mobile/lib/features/channels/thread_detail_page/message_list.dart;mobile/lib/features/pairing/pairing_page.dart;mobile/lib/shared/widgets/buzz_action_tile.dart;mobile/lib/shared/widgets/frosted_app_bar.dart;mobile/lib/shared/widgets/lucide_star_icon.dart;mobile/test/features/channels/channel_detail_page_test.dart;mobile/test/features/channels/channel_preferences_manager_test.dart;mobile/test/features/channels/compose_bar_test.dart;mobile/test/features/channels/local_message_send_transition_test.dart;mobile/test/features/channels/send_message_provider_test.dart;mobile/test/features/pairing/pairing_page_test.dart;mobile/test/shared/widgets/frosted_app_bar_test.dart,adapted,Final 0.5.22 source for Polish mobile channel navigation and message sends is accounted for at the current paths below. Shared files retain Crew extensions or use existing Crew integration seams; supporting review evidence is attached.,mobile/lib/features/channels/channel_actions_sheet.dart;mobile/lib/features/channels/channel_detail_page.dart;mobile/lib/features/channels/channel_detail_page/message_list.dart;mobile/lib/features/channels/channel_details_page.dart;mobile/lib/features/channels/channel_mutes/channel_mutes_manager.dart;mobile/lib/features/channels/channel_stars/channel_stars_manager.dart;mobile/lib/features/channels/compose_bar/compose_bar_widget.dart;mobile/lib/features/channels/compose_bar/draft_lifecycle.dart;mobile/lib/features/channels/local_message_send_animation_provider.dart;mobile/lib/features/channels/local_message_send_transition.dart;mobile/lib/features/channels/send_message_provider.dart;mobile/lib/features/channels/thread_detail_page.dart;mobile/lib/features/channels/thread_detail_page/message_list.dart;mobile/lib/features/pairing/pairing_page.dart;mobile/lib/shared/widgets/buzz_action_tile.dart;mobile/lib/shared/widgets/frosted_app_bar.dart;mobile/lib/shared/widgets/lucide_star_icon.dart;mobile/test/features/channels/channel_detail_page_test.dart;mobile/test/features/channels/channel_preferences_manager_test.dart;mobile/test/features/channels/compose_bar_test.dart;mobile/test/features/channels/local_message_send_transition_test.dart;mobile/test/features/channels/send_message_provider_test.dart;mobile/test/features/pairing/pairing_page_test.dart;mobile/test/shared/widgets/frosted_app_bar_test.dart;plans/reports/reviewer-260905-coverage-audit.md,"Final-source audit: 22 target-exact, 2 adapted, 0 intentional Crew/mapped paths. Source coverage and local just ci/dependency-policy gates passed; 10k browser smoke passed; PR #342 Gate/manual passed on 0ef5491f; whole CI cancelled after smoke 3/4 timeouts with failures. Later repairs have local validation; PR342 checks are canonical remote evidence and full NuncioCrew CI including all desktop smoke shards and manual upstream compatibility must pass on the exact head at merge."
6,025425591ed67518a63870316f1473ffd02dd520,fix(benchmarks): wait for scripted event delivery (#6487),01-toolchain-ci-docs;03-agent-runtime,integrate final released behavior,4,benchmarks/harbor-buzz-orchestra/src/harbor_buzz_orchestra/container_runtime.py;benchmarks/harbor-buzz-orchestra/src/harbor_buzz_orchestra/task_fixtures.py;benchmarks/harbor-buzz-orchestra/tests/test_container_runtime.py;crates/buzz-acp/src/pool.rs,adapted,Final 0.5.22 source for fix(benchmarks): wait for scripted event delivery is accounted for at the current paths below. Shared files retain Crew extensions or use existing Crew integration seams; supporting review evidence is attached.,benchmarks/harbor-buzz-orchestra/src/harbor_buzz_orchestra/container_runtime.py;benchmarks/harbor-buzz-orchestra/src/harbor_buzz_orchestra/task_fixtures.py;benchmarks/harbor-buzz-orchestra/tests/test_container_runtime.py;crates/buzz-acp/src/pool.rs;plans/reports/implementer-260905-acp-priority-ports.md;plans/reports/implementer-260905-supporting-source-ports.md;plans/reports/reviewer-260905-coverage-audit.md,"Final-source audit: 3 target-exact, 1 adapted, 0 intentional Crew/mapped paths. 1175 ACP library tests, 14 integration tests, 6 PostgreSQL regressions passed. Benchmark 91 tests; testbed 39 passed, 1 live-provider skip. Source coverage and local just ci/dependency-policy gates passed; 10k browser smoke passed; PR #342 Gate/manual passed on 0ef5491f; whole CI cancelled after smoke 3/4 timeouts with failures. Later repairs have local validation; PR342 checks are canonical remote evidence and full NuncioCrew CI including all desktop smoke shards and manual upstream compatibility must pass on the exact head at merge."
7,d97780b4777f2fe3430b4e30a7d47fc6837ee059,docs(nips): comprehensive NIP-FI — core + claimable profiles (EDGE/LIFECYCLE/DELEG/CONF) (#5946),02-shared-protocol-web,integrate final released behavior,6,docs/nips/NIP-FI-CONF.md;docs/nips/NIP-FI-DELEG.md;docs/nips/NIP-FI-EDGE.md;docs/nips/NIP-FI-LIFECYCLE.md;docs/nips/NIP-FI-MODEL.md;docs/nips/NIP-FI.md,ported,Final 0.5.22 source for docs(nips): comprehensive NIP-FI — core + claimable profiles (EDGE/LIFECYCLE/DELEG/CONF) is accounted for at the current paths below. Every listed path matches the final target bytes (including final target deletions).,final-target-deleted:docs/nips/NIP-FI-CONF.md;final-target-deleted:docs/nips/NIP-FI-DELEG.md;final-target-deleted:docs/nips/NIP-FI-EDGE.md;final-target-deleted:docs/nips/NIP-FI-LIFECYCLE.md;final-target-deleted:docs/nips/NIP-FI-MODEL.md;docs/nips/NIP-FI.md;plans/reports/reviewer-260905-coverage-audit.md,"Final-source audit: 6 target-exact, 0 adapted, 0 intentional Crew/mapped paths. Source coverage and local just ci/dependency-policy gates passed; 10k browser smoke passed; PR #342 Gate/manual passed on 0ef5491f; whole CI cancelled after smoke 3/4 timeouts with failures. Later repairs have local validation; PR342 checks are canonical remote evidence and full NuncioCrew CI including all desktop smoke shards and manual upstream compatibility must pass on the exact head at merge."
8,47526784d5c1967de6b2c5d1ee642bccfefbfab9,fix(deletion): allow IRSA S3 credentials (#6495),02-shared-substrate,integrate final released behavior,1,crates/buzz-deletion/src/lib.rs,ported,Final 0.5.22 source for fix(deletion): allow IRSA S3 credentials is accounted for at the current paths below. Every listed path matches the final target bytes (including final target deletions).,crates/buzz-deletion/src/lib.rs;plans/reports/reviewer-260905-coverage-audit.md,"Final-source audit: 1 target-exact, 0 adapted, 0 intentional Crew/mapped paths. Source coverage and local just ci/dependency-policy gates passed; 10k browser smoke passed; PR #342 Gate/manual passed on 0ef5491f; whole CI cancelled after smoke 3/4 timeouts with failures. Later repairs have local validation; PR342 checks are canonical remote evidence and full NuncioCrew CI including all desktop smoke shards and manual upstream compatibility must pass on the exact head at merge."
9,b0466ac465336cb773fbf7355ec05f7d61f4a3aa,perf(desktop): keep the member roster off the channel-switch path (#6456),03-managed-agents;04-desktop,integrate final released behavior,20,desktop/src-tauri/src/commands/channels.rs;desktop/src-tauri/src/commands/channels_tests.rs;desktop/src/features/agents/knownAgentPubkeys.ts;desktop/src/features/agents/ui/useManagedAgentActions.ts;desktop/src/features/channels/hooks.test.mjs;desktop/src/features/channels/hooks.ts;desktop/src/features/channels/lib/huddleAvailability.test.mjs;desktop/src/features/channels/lib/huddleAvailability.ts;desktop/src/features/channels/rosterFreshness.ts;desktop/src/features/channels/ui/ChannelMembersBar.tsx;desktop/src/features/channels/ui/useChannelActivityTyping.ts;desktop/src/features/channels/ui/useChannelAgentSessions.ts;desktop/src/features/channels/useCanAddChannelMembers.ts;desktop/src/features/messages/lib/formatTimelineMessages.ts;desktop/src/features/messages/lib/useMentions.ts;desktop/src/features/messages/ui/useMentionSendFlow.ts;desktop/src/features/profile/ui/UserProfilePanelDeletion.ts;desktop/src/features/settings/ui/ModerationQueueCard.tsx;desktop/src/shared/lib/rosterDerivations.test.mjs;desktop/src/shared/lib/rosterDerivations.ts,adapted,Final 0.5.22 source for perf(desktop): keep the member roster off the channel-switch path is accounted for at the current paths below. Shared files retain Crew extensions or use existing Crew integration seams; supporting review evidence is attached.,desktop/src-tauri/src/commands/channels.rs;desktop/src-tauri/src/commands/channels_tests.rs;desktop/src/features/agents/knownAgentPubkeys.ts;desktop/src/features/agents/ui/useManagedAgentActions.ts;desktop/src/features/channels/hooks.test.mjs;desktop/src/features/channels/hooks.ts;desktop/src/features/channels/lib/huddleAvailability.test.mjs;desktop/src/features/channels/lib/huddleAvailability.ts;desktop/src/features/channels/rosterFreshness.ts;desktop/src/features/channels/ui/ChannelMembersBar.tsx;desktop/src/features/channels/ui/useChannelActivityTyping.ts;desktop/src/features/channels/ui/useChannelAgentSessions.ts;desktop/src/features/channels/useCanAddChannelMembers.ts;desktop/src/features/messages/lib/formatTimelineMessages.ts;desktop/src/features/messages/lib/useMentions.ts;desktop/src/features/messages/ui/useMentionSendFlow.ts;desktop/src/features/profile/ui/UserProfilePanelDeletion.ts;desktop/src/features/settings/ui/ModerationQueueCard.tsx;desktop/src/shared/lib/rosterDerivations.test.mjs;desktop/src/shared/lib/rosterDerivations.ts;plans/reports/implementer-260905-native-release-integration.md;plans/reports/implementer-260905-desktop-message-notification-huddle-ports.md;/tmp/crew-profile-agent-final-tests.log;plans/reports/reviewer-260905-coverage-audit.md;plans/reports/reviewer-20260905-final-desktop-reconciliation.md,"Final-source audit: 11 target-exact, 9 adapted, 0 intentional Crew/mapped paths. Native tests 3431 passed, 19 ignored; clippy passed. 1374 message tests and 193 focused integration tests passed at report snapshot. 1170 scoped profile/agent tests passed; scoped TypeScript clean. Source coverage and local just ci/dependency-policy gates passed; 10k browser smoke passed; PR #342 Gate/manual passed on 0ef5491f; whole CI cancelled after smoke 3/4 timeouts with failures. Later repairs have local validation; PR342 checks are canonical remote evidence and full NuncioCrew CI including all desktop smoke shards and manual upstream compatibility must pass on the exact head at merge."
10,b85d680fb1e3cc7eef6d31d47598741b35836a2e,perf(desktop): stop the Projects fan refetching on re-entry and running after leave (#6458),04-desktop,integrate final released behavior,10,desktop/src/features/projects/assignmentOperationFetch.test.mjs;desktop/src/features/projects/assignmentOperationFetch.ts;desktop/src/features/projects/hooks.ts;desktop/src/features/projects/projectEnumeration.test.mjs;desktop/src/features/projects/projectEnumeration.ts;desktop/src/features/projects/projectWorkItems.ts;desktop/src/features/projects/repositoryActivityHooks.ts;desktop/src/features/projects/ui/ProjectsScreen.tsx;desktop/src/shared/api/relayQueryInvalidation.test.mjs;desktop/src/shared/api/relayQueryInvalidation.ts,adapted,Final 0.5.22 source for perf(desktop): stop the Projects fan refetching on re-entry and running after leave is accounted for at the current paths below. Shared files retain Crew extensions or use existing Crew integration seams; supporting review evidence is attached.,desktop/src/features/projects/assignmentOperationFetch.test.mjs;desktop/src/features/projects/assignmentOperationFetch.ts;desktop/src/features/projects/hooks.ts;desktop/src/features/projects/projectEnumeration.test.mjs;desktop/src/features/projects/projectEnumeration.ts;desktop/src/features/projects/projectWorkItems.ts;desktop/src/features/projects/repositoryActivityHooks.ts;desktop/src/features/projects/ui/ProjectsScreen.tsx;desktop/src/shared/api/relayQueryInvalidation.test.mjs;desktop/src/shared/api/relayQueryInvalidation.ts;plans/reports/260905-projects-release-integration.md;plans/reports/reviewer-260905-coverage-audit.md;plans/reports/reviewer-20260905-final-desktop-reconciliation.md,"Final-source audit: 9 target-exact, 1 adapted, 0 intentional Crew/mapped paths. 69 focused project tests passed; final renderer gate tracked by coordinator. Source coverage and local just ci/dependency-policy gates passed; 10k browser smoke passed; PR #342 Gate/manual passed on 0ef5491f; whole CI cancelled after smoke 3/4 timeouts with failures. Later repairs have local validation; PR342 checks are canonical remote evidence and full NuncioCrew CI including all desktop smoke shards and manual upstream compatibility must pass on the exact head at merge."
